Ocupation,MODEL,BANK
REGIONAL TECHNICAL MARKETING MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ACCOUNT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
Product Manager,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
HOMEMAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
PASTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC BANK LTD
MANAGER,KONA 1.6 DCT GL HYBRID,MOTOR MEGAMALL PTE LTD
PRODUCT MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
INSURANCE AGENT,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
SENIOR SOFTWARE ENGINEER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
BANKING,IONIQ 6 ELECTRIC 2WD,DBS BANK LTD
RETIREE,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
BANK STAFF,KONA 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
PRODUCT ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
IT PROFESSIONAL,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
DATA ANALYST,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
IT PROFESSIONAL,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
LIMOUSINE SERVICES,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
TECHNICIAN,KONA 1.6 DCT HYBRID ELITE (S/R),MOTOR MEGAMALL PTE LTD
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SALES MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
BANKER,KONA 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PROPERTY ADVISOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
BANKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
RETIRED,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
SENIOR MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,GENIE FINANCIAL SERVICES PTE LTD
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DEPUTY DIRECTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
BANKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
PROJECT MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
HOUSEMARKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
IT ENGINEER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
TEACHER,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
SALES EXECUTIVE,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
RETIREE,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
ACCOUNTANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SOFTWARE ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PHARMACY TECHNICIAN SUPERVISOR,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),HONG LEONG FINANCE LTD
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
SOFTWARE ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
BANK OFFICER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
ENGINEERING EXECUTIVE,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
SENIOR MANAGER,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
FINANCIAL CONSULTANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
COMMERCIAL MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
BANKER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
OPERATION,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MARKETING,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
SELF-EMPLOYED,KONA 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
FINANCE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
POLICE OFFICER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
-,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ENGINEER,KONA 1.6 DCT HYBRID ELITE (S/R),DBS BANK LTD
REGULAR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
PUBLIC OFFICER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 6 ELECTRIC 2WD,DBS BANK LTD
IT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
FINANCE ADVISER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SELF EMPLOYED,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SELF-EMPLOYED,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
manager,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
HEAD OD DIGITAL TRANFORMATION,KONA ELECTRIC,NO FINANCE - CASH PAYMENT
DIGITAL SPECIALIST,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
PSA MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ENGINEER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
ENGINEERING MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SOFTWARE ENGINEER,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
SELF EMPLOY,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
GLOBAL CLIENT MANAGER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
RECRUITER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
SALES,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CIVIL SERVANT,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
SAFETY OFFICER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
FINANCE OFFICER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
PROPERTY AGENT,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
HOMEMAKER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
LAND SCAPE ARCHITECT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
TEACHER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
CIVIL SERVICE,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
ENGINNER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
DEPUTY DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
ENGINEER,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,NO FINANCE - CASH PAYMENT
SALES,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,MAYBANK SINGAPORE LIMITED
ACCOUNTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
Manager,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
LAWYER,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
MARKETING DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
SENIOR BUSINESS MANAGER,IONIQ 6 ELECTRIC 2WD,DBS BANK LTD
JOURNALIST,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
RETIRED,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
RETIREE,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
retiree,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
STAFF NURSE,IONIQ 6 ELECTRIC 2WD,GENIE FINANCIAL SERVICES PTE LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
SOFTWARE ENGINEER,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
SENIOR CLOUD ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
VICE PRESIDENT,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
TRAINING EXECUTIVE,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MILITARY OFFICER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
MILITARY OFFICER,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
NULL,STARIA 3.5 AUTO (S/R),NO FINANCE - CASH PAYMENT
LIMOUSINE SERVICES,KONA 1.6 DCT GL HYBRID,UNITED OVERSEAS BANK LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
EXECUTIVE ADMIN,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
NULL,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
SENIOR VICE PRESIDENT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CIVIL SERVANT,KONA ELECTRIC,OCBC Bank
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
FLEET SALES,KONA 1.6 DCT GL HYBRID (PHV),SING INVESTMENTS & FINANCE LIMITED
TEACHER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ENGINEER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
IT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
STUDENT,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
ENGINEER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
TEACHER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
INSURANCE BROKER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
LIMOUSINE SERVICES,"AVANTE 1.6 DCT HYBRID ""S""",UNITED OVERSEAS BANK LTD
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGING DIRECTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
SIA TECHNICIAN,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
SALES DIRECTOR,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
MANAGER,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
CIVIL DEFENCE OFFICER,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
PROJECT MANAGER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
TEACHER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
HOUSEWIFE,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
ENGINEER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
BANKER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
PUBLIC OFFICER,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
PARTNER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
DOCTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
BOARD DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
CIVIL SERVANT,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
FOUNDER,STARIA 3.5 AUTO (S/R),NO FINANCE - CASH PAYMENT
LEGAL COUNSEL,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
DENTAL TECHNICIAN,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",OCBC Bank
MANAGING DIRECTOR,IONIQ 5 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
DOCTOR,IONIQ 6 ELECTRIC 2WD,MAYBANK SINGAPORE LIMITED
EDUCATOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
ADMIN EXECUTIVE,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
SAF OFFICER,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
INVESTMENT MANAGER,KONA ELECTRIC,OCBC Bank
CONSULTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,MAYBANK SINGAPORE LIMITED
INVESTMENT BANKER,KONA ELECTRIC,NO FINANCE - CASH PAYMENT
SALES,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
EDUCATOR,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
SENIOR PROJECT MANAGER,IONIQ 6 ELECTRIC 2WD,OCBC Bank
ENGINEER,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MARKET RISK MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
NULL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
VICE PRESIDENT,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
PROFESSIONAL ENGINEER,IONIQ 6 ELECTRIC 2WD,OCBC Bank
AUDITOR,KONA 1.6 DCT GL HYBRID,MAYBANK SINGAPORE LIMITED
NURSE,KONA ELECTRIC,OCBC Bank
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
partnerships manager,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
OPERATIONS EXECUTIVE,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
DIRECTOR,"AVANTE 1.6 DCT HYBRID ""S""",NO FINANCE - CASH PAYMENT
RETIREE,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,IONIQ 6 ELECTRIC 2WD,NO FINANCE - CASH PAYMENT
partnerships manager,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
MOTOR TRADERS,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
MECHANICAL ENGINEERING,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
COMPLIANCE OFFICER,AVANTE 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
LIMOUSINE SERVICES,"AVANTE 1.6 DCT HYBRID ""S""",DBS BANK LTD
LIMOUSINE SERVICES,"AVANTE 1.6 DCT HYBRID ""S""",UNITED OVERSEAS BANK LTD
CIVIL SERVANT,KONA ELECTRIC S/R,NO FINANCE - CASH PAYMENT
DIRECTOR,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
OPERATION MANAGER,KONA ELECTRIC,OCBC Bank
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
LIMOUSINE SERVICES,"AVANTE 1.6 DCT HYBRID ""S""",UNITED OVERSEAS BANK LTD
MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
TEACHER,KONA 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
CUSTOMER SERVICE OFFICER,KONA ELECTRIC,NO FINANCE - CASH PAYMENT
LIMOUSINE SERVICES,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
PROFESSIONAL,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
RETIREE,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
-,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
ENGINEER,KONA ELECTRIC,MAYBANK SINGAPORE LIMITED
BANK OFFICER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
AGENT,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
SUPREINTENDANT,KONA 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
PHV DRIVER,AVANTE 1.6 DCT HYBRID ELITE (S/R),ORCHARD CREDIT PTE LTD
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
SENIOR SALES EXECUTIVE,KONA ELECTRIC S/R,MITSUBISHI HC CAPITAL ASIA PACIFIC PTE LTD
ADVISORY,AVANTE 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
MANAGER,KONA ELECTRIC S/R,MAYBANK SINGAPORE LIMITED
MANGAER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
TEACHER,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
PARALEGAL,KONA 1.6 DCT HYBRID ELITE (S/R),OCBC Bank
MANAGER,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
ASSISTANT DIRECTOR,KONA ELECTRIC S/R,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
LECTURER,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
DOCTOR,KONA 1.6 DCT GL HYBRID,NO FINANCE - CASH PAYMENT
NULL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CHOIR CONDUCTOR,AVANTE 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
TECHNICAL SALES EXECUTIVE,AVANTE 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
FINANCE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGING DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
EXECUTIVE,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
