Ocupation,MODEL,BANK
Financial Analyst,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
MANGAGING DIRECTOR HR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SN MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
HEAD OF FINANCE,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
PHARMACIST,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
CONSULTANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MOTOR TRADERS,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
NULL,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
COMMERCIAL DIRECTOR,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
MOTOR,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
RENTAL,IONIQ 5 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
MARKETING,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
NULL,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
ACCOUNTANT,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
DOCTOR,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,DBS BANK LTD
REAL ESTATE INVESTMENT,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
LECTURER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
FINANCIAL SERVICES MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
BUSINESS DEVELOPMENT DIRECTOR,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
customs officer,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
TOURIST GUIDE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
Govt,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
DOCTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
RETIREE,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
BUSINESS MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SENIOR EXECUTIVE,SANTA FE 1.6 TURBO HYBRID (S/R),OCBC Bank
LAWYER,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
BUSINESS DEVELOPMENT DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ASSISTANT DIRECTOR ENTERPRISE RISK MANAGEMENT,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
QUALITY ASSURANCE MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SOURCING DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
NULL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
NULL,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
LAWYER,IONIQ 5 ELECTRIC INSPIRATION AWD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
manager,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
HOUSEWIFE,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
IT MANAGER,IONIQ 6 ELECTRIC AWD,OCBC Bank
SENIOR FACILITIES MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
BANKER,IONIQ 5 ELECTRIC 2WD,DBS BANK LTD
director,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
PUBLIC RELATIONS SPECIALIST,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,NO FINANCE - CASH PAYMENT
ASSISTANT MANAGER,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
FINANCE,IONIQ 5 ELECTRIC PRESTIGE 2WD,OCBC Bank
SPEECH THERAPIST,TUCSON 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
DIRECTOR,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
REALTOR,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
RETAIL SUPERVISOR,SANTA FE 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
IT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
NIL,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
ENGINNER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
EDUCATION OFFICER,TUCSON 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
Manager,KONA 1.6 DCT HYBRID ELITE (S/R),TOKYO CENTURY LEASING (S) PTE LTD
HOMEMAKER,TUCSON 1.6 TURBO HYBRID (S/R),NO FINANCE - CASH PAYMENT
IT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
PROJECT EXEC,SANTA FE 1.6 TURBO HYBRID (S/R),MAYBANK SINGAPORE LIMITED
REGIONAL INTERNAL AUDIT MGR,IONIQ 5 ELECTRIC PRESTIGE 2WD,ORCHARD CREDIT PTE LTD
PROPERTY AGENT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
asst manger,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
CIVIL SERVANT,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
ASST MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
FLAVORIST,KONA 1.6 DCT HYBRID ELITE (S/R),MAYBANK SINGAPORE LIMITED
SELF EMPLOYED,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
RETIREE,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
RETIREE,IONIQ 6 ELECTRIC AWD,NO FINANCE - CASH PAYMENT
DIRECTOR,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
MANAGER,IONIQ 6 ELECTRIC AWD,MAYBANK SINGAPORE LIMITED
SALES EXCUTIVE,KONA 1.6 DCT HYBRID ELITE (S/R),NO FINANCE - CASH PAYMENT
MANAGER,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
REGIONAL INTERNAL AUDIT MGR,IONIQ 5 ELECTRIC PRESTIGE 2WD,ORCHARD CREDIT PTE LTD
CIVIL SERVANT,IONIQ 5 ELECTRIC EXCLUSIVE 2WD,DBS BANK LTD
CHAIRMAN,PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,NO FINANCE - CASH PAYMENT
SENIOR PRODUCT DEVELOPMENT MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,DBS BANK LTD
DEALS MANAGER,IONIQ 5 ELECTRIC PRESTIGE 2WD,DBS BANK LTD
TEACHER,IONIQ 5 ELECTRIC PRESTIGE 2WD,MAYBANK SINGAPORE LIMITED
SPECIALIST LECTURER,IONIQ 5 ELECTRIC PRESTIGE 2WD,NO FINANCE - CASH PAYMENT
